CityCde|CountyStateCde|CityNameTxt
"2208"|"36"|"Shiloh"
"2209"|"41"|"Shouns"
"2211"|"10"|"Siam"
"2210"|"33"|"Signal Mountain"
"2220"|"12"|"Silerton"
"2220"|"35"|"Silerton"
"2223"|"71"|"Silver Point"
"2225"|"05"|"Singleton"
"2230"|"22"|"Slayden"
"2235"|"89"|"Smartt"
"2240"|"21"|"Smithville"
"2242"|"76"|"Smokey Junction"
"2250"|"75"|"Smyrna"
"2255"|"34"|"Sneedville"
"2260"|"33"|"Soddy-Daisy"
"2270"|"24"|"Somerville"
"2275"|"80"|"South Carthage"
"2265"|"01"|"South Clinton"
"2280"|"66"|"South Fulton"
"2300"|"58"|"South Pittsburg"
"2302"|"63"|"Southside"
"2310"|"93"|"Sparta"
"2315"|"13"|"Speedwell"
"2320"|"88"|"Spencer"
"2330"|"72"|"Spring City"
"2335"|"57"|"Spring Creek"
"2350"|"60"|"Spring Hill"
"2350"|"94"|"Spring Hill"
"2340"|"74"|"Springfield"
"2355"|"40"|"Springville"
"2360"|"38"|"Stanton"
"2362"|"55"|"Stantonville"
"2363"|"42"|"Stewart"
"2364"|"45"|"Strawberry Plains"
"2365"|"20"|"Sugar Tree"
"2366"|"50"|"Summertown"
"2361"|"16"|"Summitville"
"2367"|"65"|"Sunbright"
"2368"|"37"|"Surgoinsville"
"2369"|"62"|"Sweetwater"
"2370"|"52"|"Taft"
"2371"|"45"|"Talbott"
